FlightDate,AirlineCode,AirlineName,FlightNumber,OriginAirport,OriginCity,OriginState,DestAirport,DestCity,DestState,ScheduledDepTime,ActualDepTime,DepDelayMinutes,ScheduledArrTime,ActualArrTime,ArrDelayMinutes,Cancelled,CancellationReason,DistanceKM
3/1/2024,AA,American Airlines,1001,JFK,New York,NY,LAX,Los Angeles,CA,800,755,-5,1100,1050,-10,0,,3974
3/4/2024,DL,Delta Airlines,2034,ATL,Atlanta,GA,ORD,Chicago,IL,930,1000,30,1100,1145,45,0,,975
3/6/2024,UA,United Airlines,778,SFO,San Francisco,CA,SEA,Seattle,WA,700,730,30,830,905,35,0,,1090
3/9/2024,AA,American Airlines,455,PHX,Phoenix,AZ,DFW,Dallas,TX,1300,,0,1630,,0,1,Weather,1390
3/11/2024,DL,Delta Airlines,445,DTW,Detroit,MI,DEN,Denver,CO,1200,1210,10,1400,1410,10,0,,1820
3/14/2024,UA,United Airlines,880,ORD,Chicago,IL,LAX,Los Angeles,CA,1400,1500,60,1630,1750,80,0,,2805
3/18/2024,AA,American Airlines,300,JFK,New York,NY,BOS,Boston,MA,900,900,0,1015,1015,0,0,,300
3/21/2024,DL,Delta Airlines,789,LAX,Los Angeles,CA,SEA,Seattle,WA,1600,1605,5,1830,1830,0,0,,1545
3/24/2024,UA,United Airlines,901,DEN,Denver,CO,ATL,Atlanta,GA,1100,1130,30,1630,1700,30,0,,1935
3/27/2024,AA,American Airlines,1099,JFK,New York,NY,MIA,Miami,FL,600,630,30,900,935,35,0,,1757
